Date,Name,Symbol,Price,Market Cap,Circulating Supply,url
Historical Snapshot - 22 August 2021,Bitcoin,BTC,,"$926,961,622,395.31","18,794,212",https://coinmarketcap.com/historical/20210822/
Historical Snapshot - 15 August 2021,Bitcoin,BTC,,"$883,882,942,187.64","18,787,231",https://coinmarketcap.com/historical/20210815/
Historical Snapshot - 08 August 2021,Bitcoin,BTC,,"$822,545,074,286.18","18,780,375",https://coinmarketcap.com/historical/20210808/
Historical Snapshot - 01 August 2021,Bitcoin,BTC,,"$750,472,428,208.37","18,773,593",https://coinmarketcap.com/historical/20210801/
Historical Snapshot - 18 July 2021,Bitcoin,BTC,,"$596,513,309,276.77","18,760,162",https://coinmarketcap.com/historical/20210718/
Historical Snapshot - 25 July 2021,Bitcoin,BTC,,"$663,401,935,102.72","18,766,575",https://coinmarketcap.com/historical/20210725/
Historical Snapshot - 29 August 2021,Bitcoin,BTC,,"$918,057,300,166.44","18,801,156",https://coinmarketcap.com/historical/20210829/
Historical Snapshot - 04 July 2021,Bitcoin,BTC,,"$661,574,836,314.86","18,747,987",https://coinmarketcap.com/historical/20210704/
Historical Snapshot - 27 June 2021,Bitcoin,BTC,,"$649,461,677,014.11","18,743,675",https://coinmarketcap.com/historical/20210627/
Historical Snapshot - 06 June 2021,Bitcoin,BTC,,"$671,652,557,855.13","18,728,612",https://coinmarketcap.com/historical/20210606/
Historical Snapshot - 30 May 2021,Bitcoin,BTC,,"$667,976,638,398.14","18,722,300",https://coinmarketcap.com/historical/20210530/
Historical Snapshot - 13 June 2021,Bitcoin,BTC,,"$732,465,659,891.77","18,734,162",https://coinmarketcap.com/historical/20210613/
Historical Snapshot - 20 June 2021,Bitcoin,BTC,,"$668,968,868,769.75","18,739,518",https://coinmarketcap.com/historical/20210620/
Historical Snapshot - 23 May 2021,Bitcoin,BTC,,"$650,686,270,744.27","18,713,700",https://coinmarketcap.com/historical/20210523/
Historical Snapshot - 16 May 2021,Bitcoin,BTC,,"$869,279,076,502.07","18,711,856",https://coinmarketcap.com/historical/20210516/
Historical Snapshot - 02 May 2021,Bitcoin,BTC,,"$1,058,862,005,057.49","18,697,543",https://coinmarketcap.com/historical/20210502/
Historical Snapshot - 09 May 2021,Bitcoin,BTC,,"$1,089,244,557,675.55","18,705,156",https://coinmarketcap.com/historical/20210509/
Historical Snapshot - 18 April 2021,Bitcoin,BTC,,"$1,050,445,401,609.72","18,685,818",https://coinmarketcap.com/historical/20210418/
Historical Snapshot - 11 April 2021,Bitcoin,BTC,,"$1,124,635,848,775.45","18,680,118",https://coinmarketcap.com/historical/20210411/
Historical Snapshot - 25 April 2021,Bitcoin,BTC,,"$915,955,943,256.31","18,691,356",https://coinmarketcap.com/historical/20210425/
Historical Snapshot - 04 April 2021,Bitcoin,BTC,,"$1,097,232,660,348.16","18,673,581",https://coinmarketcap.com/historical/20210404/
Historical Snapshot - 28 February 2021,Bitcoin,BTC,,"$841,428,977,514.57","18,641,350",https://coinmarketcap.com/historical/20210228/
Historical Snapshot - 21 February 2021,Bitcoin,BTC,,"$1,072,421,529,570.02","18,637,862",https://coinmarketcap.com/historical/20210221/
Historical Snapshot - 14 March 2021,Bitcoin,BTC,,"$1,106,226,132,524.59","18,654,012",https://coinmarketcap.com/historical/20210314/
Historical Snapshot - 28 March 2021,Bitcoin,BTC,,"$1,044,446,559,059.05","18,667,250",https://coinmarketcap.com/historical/20210328/
Historical Snapshot - 11 July 2021,Bitcoin,BTC,,"$642,138,104,626.48","18,753,931",https://coinmarketcap.com/historical/20210711/
Historical Snapshot - 21 March 2021,Bitcoin,BTC,,"$1,073,480,856,312.03","18,661,631",https://coinmarketcap.com/historical/20210321/
Historical Snapshot - 14 February 2021,Bitcoin,BTC,,"$907,551,330,153.22","18,628,937",https://coinmarketcap.com/historical/20210214/
Historical Snapshot - 07 February 2021,Bitcoin,BTC,,"$724,478,833,211.10","18,622,487",https://coinmarketcap.com/historical/20210207/
Historical Snapshot - 31 January 2021,Bitcoin,BTC,,"$616,452,744,533.28","18,615,875",https://coinmarketcap.com/historical/20210131/
Historical Snapshot - 20 December 2020,Bitcoin,BTC,,"$436,129,331,482.26","18,576,643",https://coinmarketcap.com/historical/20201220/
Historical Snapshot - 03 January 2021,Bitcoin,BTC,,"$609,409,213,147.03","18,589,737",https://coinmarketcap.com/historical/20210103/
Historical Snapshot - 13 December 2020,Bitcoin,BTC,,"$355,479,173,805.70","18,570,268",https://coinmarketcap.com/historical/20201213/
Historical Snapshot - 17 January 2021,Bitcoin,BTC,,"$665,831,621,390.99","18,603,181",https://coinmarketcap.com/historical/20210117/
Historical Snapshot - 27 December 2020,Bitcoin,BTC,,"$488,213,268,382.01","18,582,818",https://coinmarketcap.com/historical/20201227/
Historical Snapshot - 07 March 2021,Bitcoin,BTC,,"$954,880,954,584.64","18,647,581",https://coinmarketcap.com/historical/20210307/
Historical Snapshot - 24 January 2021,Bitcoin,BTC,,"$600,888,568,009.50","18,609,481",https://coinmarketcap.com/historical/20210124/
Historical Snapshot - 15 November 2020,Bitcoin,BTC,,"$295,790,551,597.89","18,538,368",https://coinmarketcap.com/historical/20201115/
Historical Snapshot - 01 November 2020,Bitcoin,BTC,,"$254,569,759,062.59","18,531,537",https://coinmarketcap.com/historical/20201101/
Historical Snapshot - 25 October 2020,Bitcoin,BTC,,"$241,444,607,827.29","18,528,231",https://coinmarketcap.com/historical/20201025/
Historical Snapshot - 10 January 2021,Bitcoin,BTC,,"$713,304,617,760.95","18,596,737",https://coinmarketcap.com/historical/20210110/
Historical Snapshot - 06 December 2020,Bitcoin,BTC,,"$359,123,541,247.06","18,564,037",https://coinmarketcap.com/historical/20201206/
Historical Snapshot - 08 November 2020,Bitcoin,BTC,,"$286,955,182,899.01","18,537,675",https://coinmarketcap.com/historical/20201108/
Historical Snapshot - 29 November 2020,Bitcoin,BTC,,"$337,336,592,123.07","18,557,937",https://coinmarketcap.com/historical/20201129/
Historical Snapshot - 22 November 2020,Bitcoin,BTC,,"$340,790,183,317.33","18,551,450",https://coinmarketcap.com/historical/20201122/
Historical Snapshot - 06 September 2020,Bitcoin,BTC,,"$189,997,214,393.29","18,481,587",https://coinmarketcap.com/historical/20200906/
Historical Snapshot - 30 August 2020,Bitcoin,BTC,,"$216,373,660,045.36","18,475,306",https://coinmarketcap.com/historical/20200830/
Historical Snapshot - 18 October 2020,Bitcoin,BTC,,"$212,766,341,397.05","18,528,231",https://coinmarketcap.com/historical/20201018/
Historical Snapshot - 04 October 2020,Bitcoin,BTC,,"$197,687,817,851.48","18,528,168",https://coinmarketcap.com/historical/20201004/
Historical Snapshot - 23 August 2020,Bitcoin,BTC,,"$215,439,967,321.34","18,469,162",https://coinmarketcap.com/historical/20200823/
Historical Snapshot - 09 August 2020,Bitcoin,BTC,,"$215,490,364,254.78","18,456,250",https://coinmarketcap.com/historical/20200809/
Historical Snapshot - 27 September 2020,Bitcoin,BTC,,"$199,646,001,248.20","18,528,168",https://coinmarketcap.com/historical/20200927/
Historical Snapshot - 16 August 2020,Bitcoin,BTC,,"$219,576,092,170.36","18,462,937",https://coinmarketcap.com/historical/20200816/
Historical Snapshot - 13 September 2020,Bitcoin,BTC,,"$190,870,759,062.08","18,488,500",https://coinmarketcap.com/historical/20200913/
Historical Snapshot - 26 July 2020,Bitcoin,BTC,,"$182,685,328,095.43","18,443,437",https://coinmarketcap.com/historical/20200726/
Historical Snapshot - 02 August 2020,Bitcoin,BTC,,"$203,936,136,729.63","18,449,725",https://coinmarketcap.com/historical/20200802/
Historical Snapshot - 11 October 2020,Bitcoin,BTC,,"$210,928,035,777.00","18,528,168",https://coinmarketcap.com/historical/20201011/
Historical Snapshot - 05 July 2020,Bitcoin,BTC,,"$167,181,726,153.66","18,424,375",https://coinmarketcap.com/historical/20200705/
Historical Snapshot - 19 July 2020,Bitcoin,BTC,,"$169,360,219,986.11","18,437,143",https://coinmarketcap.com/historical/20200719/
Historical Snapshot - 12 July 2020,Bitcoin,BTC,,"$170,977,422,928.13","18,431,243",https://coinmarketcap.com/historical/20200712/
Historical Snapshot - 20 September 2020,Bitcoin,BTC,,"$202,308,927,892.35","18,495,512",https://coinmarketcap.com/historical/20200920/
Historical Snapshot - 21 June 2020,Bitcoin,BTC,,"$171,289,415,078.63","18,411,031",https://coinmarketcap.com/historical/20200621/
Historical Snapshot - 28 June 2020,Bitcoin,BTC,,"$168,401,806,136.91","18,417,487",https://coinmarketcap.com/historical/20200628/
Historical Snapshot - 14 June 2020,Bitcoin,BTC,,"$172,763,239,787.20","18,404,937",https://coinmarketcap.com/historical/20200614/
Historical Snapshot - 24 May 2020,Bitcoin,BTC,,"$161,610,414,642.63","18,384,943",https://coinmarketcap.com/historical/20200524/
Historical Snapshot - 07 June 2020,Bitcoin,BTC,,"$179,540,253,701.40","18,397,681",https://coinmarketcap.com/historical/20200607/
Historical Snapshot - 10 May 2020,Bitcoin,BTC,,"$160,884,755,210.80","18,373,325",https://coinmarketcap.com/historical/20200510/
Historical Snapshot - 31 May 2020,Bitcoin,BTC,,"$173,997,151,929.68","18,390,875",https://coinmarketcap.com/historical/20200531/
Historical Snapshot - 17 May 2020,Bitcoin,BTC,,"$177,745,404,470.08","18,379,712",https://coinmarketcap.com/historical/20200517/
Historical Snapshot - 12 April 2020,Bitcoin,BTC,,"$127,716,846,208.31","18,320,925",https://coinmarketcap.com/historical/20200412/
Historical Snapshot - 03 May 2020,Bitcoin,BTC,,"$163,358,189,150.98","18,360,075",https://coinmarketcap.com/historical/20200503/
Historical Snapshot - 19 April 2020,Bitcoin,BTC,,"$131,815,853,850.00","18,334,687",https://coinmarketcap.com/historical/20200419/
Historical Snapshot - 29 March 2020,Bitcoin,BTC,,"$108,338,520,155.50","18,294,112",https://coinmarketcap.com/historical/20200329/
