Date,Name,Symbol,Price,Market Cap,Circulating Supply,url
Historical Snapshot - 25 May 2014,Dogecoin,DOGE,,"$33,755,000.65","79,396,823,040",https://coinmarketcap.com/historical/20140525/
Historical Snapshot - 25 May 2014,XRP,XRP,,"$28,500,220.49","7,817,889,792",https://coinmarketcap.com/historical/20140525/
Historical Snapshot - 25 May 2014,Namecoin,NMC,,"$24,066,058.13","8,940,150",https://coinmarketcap.com/historical/20140525/
Historical Snapshot - 25 May 2014,Omni,OMNI,,"$17,674,774.71","619,478",https://coinmarketcap.com/historical/20140525/
Historical Snapshot - 25 May 2014,BlackCoin,BLK,,"$11,503,699.43","74,543,736",https://coinmarketcap.com/historical/20140525/
Historical Snapshot - 25 May 2014,Counterparty,XCP,,"$8,432,266.21","2,649,267",https://coinmarketcap.com/historical/20140525/
Historical Snapshot - 25 May 2014,BitShares PTS,PTS,,"$7,212,677.12","1,638,447",https://coinmarketcap.com/historical/20140525/
Historical Snapshot - 25 May 2014,MaidSafeCoin,MAID,,"$6,200,535.83","452,552,416",https://coinmarketcap.com/historical/20140525/
Historical Snapshot - 25 May 2014,Vertcoin,VTC,,"$4,845,190.50","4,653,200",https://coinmarketcap.com/historical/20140525/
Historical Snapshot - 25 May 2014,Quark,QRK,,"$4,322,045.14","247,875,888",https://coinmarketcap.com/historical/20140525/
Historical Snapshot - 25 May 2014,Primecoin,XPM,,"$4,044,336.47","5,827,464",https://coinmarketcap.com/historical/20140525/
Historical Snapshot - 25 May 2014,Auroracoin,AUR,,"$3,520,072.08","10,843,776",https://coinmarketcap.com/historical/20140525/
Historical Snapshot - 11 May 2014,Litecoin,LTC,,"$292,765,103.13","28,267,354",https://coinmarketcap.com/historical/20140511/
Historical Snapshot - 11 May 2014,XRP,XRP,,"$44,981,568.00","7,817,889,792",https://coinmarketcap.com/historical/20140511/
Historical Snapshot - 11 May 2014,Peercoin,PPC,,"$44,197,252.82","21,391,686",https://coinmarketcap.com/historical/20140511/
Historical Snapshot - 11 May 2014,Dogecoin,DOGE,,"$35,195,711.23","77,153,173,504",https://coinmarketcap.com/historical/20140511/
Historical Snapshot - 11 May 2014,Nxt,NXT,,"$29,994,067.97","999,997,120",https://coinmarketcap.com/historical/20140511/
Historical Snapshot - 11 May 2014,Omni,OMNI,,"$19,361,948.61","619,478",https://coinmarketcap.com/historical/20140511/
Historical Snapshot - 11 May 2014,Namecoin,NMC,,"$17,897,532.76","8,734,232",https://coinmarketcap.com/historical/20140511/
Historical Snapshot - 11 May 2014,Dash,DASH,,"$10,967,002.39","4,266,030",https://coinmarketcap.com/historical/20140511/
Historical Snapshot - 11 May 2014,BlackCoin,BLK,,"$8,709,915.87","74,530,048",https://coinmarketcap.com/historical/20140511/
Historical Snapshot - 11 May 2014,BitShares PTS,PTS,,"$5,844,252.89","1,635,783",https://coinmarketcap.com/historical/20140511/
Historical Snapshot - 11 May 2014,MaidSafeCoin,MAID,,"$5,458,978.53","452,552,416",https://coinmarketcap.com/historical/20140511/
Historical Snapshot - 11 May 2014,Counterparty,XCP,,"$4,991,020.36","2,649,284",https://coinmarketcap.com/historical/20140511/
Historical Snapshot - 11 May 2014,Auroracoin,AUR,,"$4,569,027.51","10,794,488",https://coinmarketcap.com/historical/20140511/
Historical Snapshot - 11 May 2014,Quark,QRK,,"$4,162,634.23","247,794,208",https://coinmarketcap.com/historical/20140511/
Historical Snapshot - 11 May 2014,Vertcoin,VTC,,"$3,929,657.56","4,248,700",https://coinmarketcap.com/historical/20140511/
Historical Snapshot - 11 May 2014,Primecoin,XPM,,"$3,743,522.12","5,622,629",https://coinmarketcap.com/historical/20140511/
Historical Snapshot - 18 May 2014,Litecoin,LTC,,"$295,067,065.81","28,480,054",https://coinmarketcap.com/historical/20140518/
Historical Snapshot - 18 May 2014,XRP,XRP,,"$46,938,108.57","7,817,889,792",https://coinmarketcap.com/historical/20140518/
Historical Snapshot - 18 May 2014,Peercoin,PPC,,"$44,387,387.33","21,412,062",https://coinmarketcap.com/historical/20140518/
Historical Snapshot - 18 May 2014,Nxt,NXT,,"$39,047,534.81","999,997,120",https://coinmarketcap.com/historical/20140518/
Historical Snapshot - 18 May 2014,Dogecoin,DOGE,,"$35,125,175.50","78,300,807,168",https://coinmarketcap.com/historical/20140518/
Historical Snapshot - 18 May 2014,Dash,DASH,,"$27,439,485.61","4,301,024",https://coinmarketcap.com/historical/20140518/
Historical Snapshot - 18 May 2014,Namecoin,NMC,,"$17,412,679.43","8,795,332",https://coinmarketcap.com/historical/20140518/
Historical Snapshot - 18 May 2014,Omni,OMNI,,"$14,492,684.55","619,478",https://coinmarketcap.com/historical/20140518/
Historical Snapshot - 18 May 2014,BlackCoin,BLK,,"$6,301,694.01","74,537,360",https://coinmarketcap.com/historical/20140518/
Historical Snapshot - 18 May 2014,MaidSafeCoin,MAID,,"$5,984,489.14","452,552,416",https://coinmarketcap.com/historical/20140518/
Historical Snapshot - 18 May 2014,BitShares PTS,PTS,,"$5,858,212.49","1,637,149",https://coinmarketcap.com/historical/20140518/
Historical Snapshot - 18 May 2014,Counterparty,XCP,,"$4,636,830.57","2,649,274",https://coinmarketcap.com/historical/20140518/
Historical Snapshot - 18 May 2014,Vertcoin,VTC,,"$4,456,775.72","4,454,900",https://coinmarketcap.com/historical/20140518/
Historical Snapshot - 18 May 2014,Quark,QRK,,"$4,152,959.23","247,855,392",https://coinmarketcap.com/historical/20140518/
Historical Snapshot - 18 May 2014,Auroracoin,AUR,,"$4,060,139.33","10,819,963",https://coinmarketcap.com/historical/20140518/
Historical Snapshot - 04 May 2014,Zetacoin,ZET,,"$4,014,076.80","160,401,888",https://coinmarketcap.com/historical/20140504/
